FECHA (YYMMDD);HORA (HHMM);;
200301;0100;0,587921;
200301;0200;0,0668796;
200301;0300;0,339342;
200301;0400;0,819871;
200301;0500;0,206731;
200301;0600;0,843825;
200301;0700;0,599612;
200301;0800;0,814228;
200301;0900;0,942247;
200301;1000;1,47625;
200301;1100;1,2473;
200301;1200;1,55313;
200301;1300;2,23678;
200301;1400;2,4383;
200301;1500;2,96546;
200301;1600;2,91496;
200301;1700;2,80278;
200301;1800;2,27899;
200301;1900;1,68174;
200301;2000;1,57036;
200301;2100;1,37044;
200301;2200;0,884729;
200301;2300;0,273234;
200302;0000;0,0472406;
200302;0100;0,0959187;
200302;0200;0,0903381;
200302;0300;0,131086;
200302;0400;0,0398136;
200302;0500;0,0330188;
200302;0600;0,0752625;
200302;0700;0,296446;
200302;0800;0,761492;
200302;0900;0,842985;
200302;1000;0,496456;
200302;1100;0,398934;
200302;1200;1,05605;
200302;1300;2,18084;
200302;1400;2,51868;
200302;1500;3,13262;
200302;1600;2,72859;
200302;1700;2,67737;
200302;1800;2,37621;
200302;1900;2,15408;
200302;2000;1,71551;
200302;2100;1,15834;
200302;2200;0,710666;
200302;2300;0,651504;
200303;0000;0,744525;
200303;0100;0,225498;
200303;0200;0,24184;
200303;0300;0,126403;
200303;0400;0,0798407;
200303;0500;0,134381;
200303;0600;0,197569;
200303;0700;0,0698981;
200303;0800;0,542491;
200303;0900;0,96252;
200303;1000;0,714325;
200303;1100;0,556404;
200303;1200;1,39168;
200303;1300;1,54576;
200303;1400;2,18341;
200303;1500;2,58794;
200303;1600;2,70101;
200303;1700;2,92235;
200303;1800;2,61881;
200303;1900;2,59835;
200303;2000;2,20869;
200303;2100;1,68525;
200303;2200;1,02191;
200303;2300;0,265135;
200304;0000;0,225477;
200304;0100;0,96063;
200304;0200;0,513281;
200304;0300;0,389745;
200304;0400;0,485125;
200304;0500;0,556301;
200304;0600;0,131283;
200304;0700;0,41473;
200304;0800;0,340652;
200304;0900;0,37823;
200304;1000;1,1302;
200304;1100;0,35182;
200304;1200;1,23768;
200304;1300;1,49748;
200304;1400;1,74133;
200304;1500;2,13437;
200304;1600;2,49231;
200304;1700;1,97645;
200304;1800;2,10845;
200304;1900;2,08388;
200304;2000;1,21846;
200304;2100;0,663605;
200304;2200;0,514639;
200304;2300;0,335352;
200305;0000;0,143511;
200305;0100;0,0480956;
200305;0200;0,0607172;
200305;0300;0,0660056;
200305;0400;0,0539026;
200305;0500;0,22576;
200305;0600;0,191299;
200305;0700;0,312528;
200305;0800;0,59514;
200305;0900;0,416693;
200305;1000;0,624068;
200305;1100;0,761468;
200305;1200;0,599167;
200305;1300;0,979826;
200305;1400;0,98067;
200305;1500;1,35773;
200305;1600;2,26502;
200305;1700;2,22695;
200305;1800;2,46403;
200305;1900;2,37225;
200305;2000;1,27417;
200305;2100;0,118057;
200305;2200;0,351576;
200305;2300;0,0274756;
200306;0000;0,0578911;
200306;0100;0,123861;
200306;0200;0,0587676;
200306;0300;0,0731988;
200306;0400;0,0474682;
200306;0500;0,0452951;
200306;0600;0,0648403;
200306;0700;0,0316765;
200306;0800;0,245879;
200306;0900;0,709427;
200306;1000;0,71872;
200306;1100;0,738946;
200306;1200;2,05282;
200306;1300;2,32851;
200306;1400;2,70386;
200306;1500;2,54535;
200306;1600;2,88332;
200306;1700;3,11268;
200306;1800;3,21367;
200306;1900;2,50574;
200306;2000;1,27747;
200306;2100;1,41119;
200306;2200;0,568811;
200306;2300;0,579432;
200307;0000;0,189445;
200307;0100;0,0293896;
200307;0200;0,341078;
200307;0300;0,46777;
200307;0400;0,0473408;
200307;0500;0,29654;
200307;0600;0,116833;
200307;0700;0,254345;
200307;0800;0,105351;
200307;0900;0,687757;
200307;1000;0,677755;
200307;1100;0,31566;
200307;1200;0,829711;
200307;1300;1,22228;
200307;1400;2,05025;
200307;1500;2,0476;
200307;1600;2,64459;
200307;1700;2,68782;
200307;1800;2,72139;
200307;1900;2,0733;
200307;2000;1,32245;
200307;2100;1,84871;
200307;2200;1,16696;
200307;2300;0,635827;
200308;0000;0,0511094;
200308;0100;0,025167;
200308;0200;0,149197;
200308;0300;0,443739;
200308;0400;0,0125313;
200308;0500;0,110041;
200308;0600;0,332129;
200308;0700;0,215375;
200308;0800;0,0166933;
200308;0900;0,12047;
200308;1000;0,583485;
200308;1100;0,298973;
200308;1200;0,390233;
200308;1300;1,82147;
200308;1400;2,17313;
200308;1500;2,24774;
200308;1600;2,28722;
200308;1700;2,57713;
200308;1800;2,45852;
200308;1900;2,0999;
200308;2000;1,02059;
200308;2100;1,37019;
200308;2200;1,09236;
200308;2300;0,0695822;
200309;0000;0,0789;
200309;0100;0,265329;
200309;0200;0,0389293;
200309;0300;0,0153872;
200309;0400;0,149922;
200309;0500;0,136226;
200309;0600;0,0720792;
200309;0700;0,0220512;
200309;0800;0,0893759;
200309;0900;0,467206;
200309;1000;0,166929;
200309;1100;0,540908;
200309;1200;0,709028;
200309;1300;1,92379;
200309;1400;2,27487;
200309;1500;2,02559;
200309;1600;2,33085;
200309;1700;2,45313;
200309;1800;2,45807;
200309;1900;2,12393;
200309;2000;1,16695;
200309;2100;0,831028;
200309;2200;0,476814;
200309;2300;0,0238655;
200310;0000;0,0316594;
200310;0100;0,307582;
200310;0200;0,0777626;
200310;0300;0,143133;
200310;0400;0,140881;
200310;0500;0,0276472;
200310;0600;0,0507832;
200310;0700;0,0401083;
200310;0800;0,338938;
200310;0900;0,756793;
200310;1000;0,799327;
200310;1100;0,972117;
200310;1200;1,13118;
200310;1300;1,34045;
200310;1400;2,1435;
200310;1500;2,21624;
200310;1600;2,75077;
200310;1700;2,62442;
200310;1800;2,4881;
200310;1900;2,17196;
200310;2000;0,986072;
200310;2100;0,836609;
200310;2200;0,162256;
200310;2300;0,113447;
200311;0000;0,0265221;
200311;0100;0,0225943;
200311;0200;0,03918;
200311;0300;0,204156;
200311;0400;0,207204;
200311;0500;0,403985;
200311;0600;0,110321;
200311;0700;0,113519;
200311;0800;0,0131252;
200311;0900;1,17997;
200311;1000;0,4886;
200311;1100;0,4299;
200311;1200;1,37913;
200311;1300;1,68473;
200311;1400;2,25497;
200311;1500;2,07416;
200311;1600;1,96064;
200311;1700;2,56466;
200311;1800;2,36555;
200311;1900;1,99941;
200311;2000;1,14968;
200311;2100;1,09845;
200311;2200;0,625258;
200311;2300;0,852741;
200312;0000;0,977737;
200312;0100;0,192281;
200312;0200;0,571413;
200312;0300;0,0267691;
200312;0400;0,0774992;
200312;0500;0,0297611;
200312;0600;0,330439;
200312;0700;0,182766;
200312;0800;0,411212;
200312;0900;1,0601;
200312;1000;1,35458;
200312;1100;1,64689;
200312;1200;0,930043;
200312;1300;2,01173;
200312;1400;2,38633;
200312;1500;2,27892;
200312;1600;3,05487;
200312;1700;2,68141;
200312;1800;2,41767;
200312;1900;2,15476;
200312;2000;1,78669;
200312;2100;1,74586;
200312;2200;1,17801;
200312;2300;0,59512;
200313;0000;0,0463729;
200313;0100;0,0141608;
200313;0200;0,0405529;
200313;0300;0,33918;
200313;0400;0,0447687;
200313;0500;0,123084;
200313;0600;0,113227;
200313;0700;0,166841;
200313;0800;0,565137;
200313;0900;1,46339;
200313;1000;1,02218;
200313;1100;1,09179;
200313;1200;1,57539;
200313;1300;1,83044;
200313;1400;2,15499;
200313;1500;2,54018;
200313;1600;2,59771;
200313;1700;2,38206;
200313;1800;2,19757;
200313;1900;1,86026;
200313;2000;1,43341;
200313;2100;1,28214;
200313;2200;0,959809;
200313;2300;0,549116;
200314;0000;0,270365;
200314;0100;0,246182;
200314;0200;0,0227588;
200314;0300;0,21266;
200314;0400;0,240418;
200314;0500;0,255422;
200314;0600;0,204338;
200314;0700;0,178165;
200314;0800;0,473619;
200314;0900;0,535421;
200314;1000;0,659288;
