FECHA (YYMMDD);HORA (HHMM);;
200301;0100;261,223;
200301;0200;249,718;
200301;0300;259,635;
200301;0400;260,72;
200301;0500;268,218;
200301;0600;261,66;
200301;0700;273,372;
200301;0800;266,58;
200301;0900;267,195;
200301;1000;241,749;
200301;1100;244,649;
200301;1200;247,858;
200301;1300;239,737;
200301;1400;241,228;
200301;1500;229,298;
200301;1600;233,004;
200301;1700;228,365;
200301;1800;235,753;
200301;1900;235,657;
200301;2000;233,089;
200301;2100;236,853;
200301;2200;247,026;
200301;2300;270,112;
200302;0000;278,079;
200302;0100;45,4513;
200302;0200;48,5731;
200302;0300;256,336;
200302;0400;356,367;
200302;0500;324,841;
200302;0600;279,777;
200302;0700;258,907;
200302;0800;261,753;
200302;0900;259,89;
200302;1000;263,573;
200302;1100;281,823;
200302;1200;251,551;
200302;1300;238,078;
200302;1400;236,309;
200302;1500;232,516;
200302;1600;226,184;
200302;1700;230,187;
200302;1800;244,539;
200302;1900;243,729;
200302;2000;231,271;
200302;2100;232,431;
200302;2200;238,753;
200302;2300;251,165;
200303;0000;266,304;
200303;0100;263,731;
200303;0200;252,628;
200303;0300;257,019;
200303;0400;85,6919;
200303;0500;273,385;
200303;0600;237,057;
200303;0700;22,5308;
200303;0800;253,375;
200303;0900;265,692;
200303;1000;313,141;
200303;1100;269,471;
200303;1200;221,328;
200303;1300;230,888;
200303;1400;243,973;
200303;1500;240,794;
200303;1600;239,207;
200303;1700;242,037;
200303;1800;242,259;
200303;1900;231,262;
200303;2000;228,294;
200303;2100;221,732;
200303;2200;209,321;
200303;2300;237,063;
200304;0000;260,297;
200304;0100;268,459;
200304;0200;276,334;
200304;0300;269,682;
200304;0400;259,258;
200304;0500;257,186;
200304;0600;252,828;
200304;0700;255,219;
200304;0800;218,009;
200304;0900;247,941;
200304;1000;240,985;
200304;1100;250,418;
200304;1200;253,343;
200304;1300;199,441;
200304;1400;208,152;
200304;1500;236,617;
200304;1600;232,197;
200304;1700;225,371;
200304;1800;238,854;
200304;1900;236,806;
200304;2000;224,481;
200304;2100;220,553;
200304;2200;267,894;
200304;2300;235,713;
200305;0000;236,303;
200305;0100;234,098;
200305;0200;40,7256;
200305;0300;108,322;
200305;0400;281,287;
200305;0500;250,731;
200305;0600;245,307;
200305;0700;150,167;
200305;0800;254,466;
200305;0900;176,344;
200305;1000;94,9083;
200305;1100;267,118;
200305;1200;286,942;
200305;1300;290,009;
200305;1400;235,749;
200305;1500;221,478;
200305;1600;227,505;
200305;1700;230,656;
200305;1800;241,455;
200305;1900;237,662;
200305;2000;229,407;
200305;2100;217,593;
200305;2200;9,02841;
200305;2300;198,824;
200306;0000;310,754;
200306;0100;220,988;
200306;0200;249,529;
200306;0300;310,669;
200306;0400;66,826;
200306;0500;5,25702;
200306;0600;17,5934;
200306;0700;3,57898;
200306;0800;251,001;
200306;0900;236,687;
200306;1000;225,368;
200306;1100;192,709;
200306;1200;235,983;
200306;1300;235,649;
200306;1400;234,207;
200306;1500;239,353;
200306;1600;244,362;
200306;1700;237,889;
200306;1800;236,709;
200306;1900;232,427;
200306;2000;218,729;
200306;2100;219,792;
200306;2200;229,033;
200306;2300;260,102;
200307;0000;257,969;
200307;0100;255,678;
200307;0200;259,268;
200307;0300;264,7;
200307;0400;266,597;
200307;0500;260,909;
200307;0600;253,413;
200307;0700;261,478;
200307;0800;224,572;
200307;0900;250,588;
200307;1000;295,335;
200307;1100;304,396;
200307;1200;244,366;
200307;1300;204,475;
200307;1400;236,784;
200307;1500;246,272;
200307;1600;237,445;
200307;1700;236,635;
200307;1800;238,26;
200307;1900;237,659;
200307;2000;224,749;
200307;2100;231,365;
200307;2200;208,656;
200307;2300;197,152;
200308;0000;14,6055;
200308;0100;167,929;
200308;0200;291,221;
200308;0300;264,036;
200308;0400;317,256;
200308;0500;259,261;
200308;0600;263,387;
200308;0700;262,171;
200308;0800;306,691;
200308;0900;280,559;
200308;1000;272,892;
200308;1100;104,979;
200308;1200;265,472;
200308;1300;232,571;
200308;1400;233,199;
200308;1500;222,227;
200308;1600;224,999;
200308;1700;242,753;
200308;1800;240,145;
200308;1900;238,088;
200308;2000;226,726;
200308;2100;225,493;
200308;2200;225,931;
200308;2300;168,175;
200309;0000;353,975;
200309;0100;283,183;
200309;0200;89,1772;
200309;0300;315,725;
200309;0400;292,626;
200309;0500;259,937;
200309;0600;328,559;
200309;0700;263,279;
200309;0800;112,303;
200309;0900;123,819;
200309;1000;26,4406;
200309;1100;273,674;
200309;1200;231,781;
200309;1300;237,043;
200309;1400;238,052;
200309;1500;230,279;
200309;1600;237,299;
200309;1700;243,682;
200309;1800;241,855;
200309;1900;237,133;
200309;2000;204,738;
200309;2100;199,285;
200309;2200;199,667;
