FECHA (YYMMDD);HORA (HHMM);;
200301;0100;17,6623;
200301;0200;16,7869;
200301;0300;16,1699;
200301;0400;15,6014;
200301;0500;15,0345;
200301;0600;14,3761;
200301;0700;13,65;
200301;0800;13,9167;
200301;0900;16,35;
200301;1000;18,775;
200301;1100;21,3587;
200301;1200;24,1167;
200301;1300;25,1917;
200301;1400;26,4667;
200301;1500;27,2;
200301;1600;27,15;
200301;1700;27,0167;
200301;1800;26,5384;
200301;1900;24,9047;
200301;2000;22,7043;
200301;2100;20,8373;
200301;2200;19,8286;
200301;2300;18,7365;
200302;0000;17,7862;
200302;0100;17,0525;
200302;0200;16,3604;
200302;0300;15,8342;
200302;0400;15,3757;
200302;0500;15,1906;
200302;0600;14,9753;
200302;0700;14,3833;
200302;0800;15,7583;
200302;0900;18,425;
200302;1000;22,0917;
200302;1100;24,9083;
200302;1200;26,8667;
200302;1300;27,45;
200302;1400;28,2718;
200302;1500;28,3465;
200302;1600;28,45;
200302;1700;28,3833;
200302;1800;27,3454;
200302;1900;24,9533;
200302;2000;22,35;
200302;2100;20,4083;
200302;2200;19,4417;
200302;2300;18,675;
200303;0000;17,6765;
200303;0100;16,7511;
200303;0200;15,9833;
200303;0300;15,3583;
200303;0400;14,8833;
200303;0500;14,6785;
200303;0600;14,3533;
200303;0700;14,4864;
200303;0800;16,6917;
200303;0900;19,6833;
200303;1000;23,125;
200303;1100;25,8833;
200303;1200;27,0917;
200303;1300;29,2583;
200303;1400;30,0333;
200303;1500;30,8583;
200303;1600;31,1167;
200303;1700;30,475;
200303;1800;29,075;
200303;1900;25,7167;
200303;2000;22,7167;
200303;2100;20,5917;
200303;2200;19,45;
200303;2300;19,1583;
200304;0000;18,25;
200304;0100;17,125;
200304;0200;15,6;
200304;0300;15,0114;
200304;0400;14,6029;
200304;0500;14,0777;
200304;0600;13,7942;
200304;0700;14,15;
200304;0800;16,125;
200304;0900;19,9083;
200304;1000;21,3417;
200304;1100;24,55;
200304;1200;26,7417;
200304;1300;28,3417;
200304;1400;29,8167;
200304;1500;30,8417;
200304;1600;31,1417;
200304;1700;31,5167;
200304;1800;30,7333;
200304;1900;28,675;
200304;2000;26,425;
200304;2100;24,5167;
200304;2200;22,7083;
200304;2300;21,4833;
200305;0000;20,4083;
200305;0100;19,275;
200305;0200;18,3167;
200305;0300;17,6917;
200305;0400;17,2;
200305;0500;16,8167;
200305;0600;16,3786;
200305;0700;16,65;
200305;0800;18,75;
200305;0900;22,4167;
200305;1000;25,75;
200305;1100;27,7167;
200305;1200;29,55;
200305;1300;31,3833;
200305;1400;32,7917;
200305;1500;33,8833;
200305;1600;34,2667;
200305;1700;33,8333;
200305;1800;32,4;
200305;1900;30,275;
200305;2000;28,2667;
200305;2100;26,1167;
200305;2200;23,9917;
200305;2300;22,2833;
200306;0000;21,421;
200306;0100;20,6917;
200306;0200;19,5667;
200306;0300;19,225;
200306;0400;18,55;
200306;0500;17,7583;
200306;0600;17,3021;
200306;0700;16,625;
200306;0800;19,3167;
200306;0900;22,2583;
200306;1000;24,3917;
200306;1100;26,7583;
200306;1200;27,5417;
200306;1300;28,425;
200306;1400;29,0333;
200306;1500;29,5083;
200306;1600;29,5667;
200306;1700;27,9583;
200306;1800;26,3667;
200306;1900;24,575;
200306;2000;22,8083;
200306;2100;21,175;
200306;2200;20,1333;
200306;2300;19,5583;
200307;0000;18,5583;
200307;0100;17,6333;
200307;0200;16,9604;
200307;0300;16,1083;
200307;0400;15,5333;
200307;0500;15,5338;
200307;0600;15,142;
200307;0700;15,2002;
200307;0800;17,15;
200307;0900;20,4167;
200307;1000;22,8083;
200307;1100;25,4917;
200307;1200;27,3083;
200307;1300;28,9667;
200307;1400;29,9583;
200307;1500;30,7167;
200307;1600;30,8917;
200307;1700;30,3917;
200307;1800;29,275;
200307;1900;27,4333;
200307;2000;25,3667;
200307;2100;23,6083;
200307;2200;21,9583;
200307;2300;21,0351;
200308;0000;20,0083;
200308;0100;19,4;
200308;0200;18,6417;
200308;0300;17,8837;
200308;0400;16,8917;
200308;0500;16,3486;
200308;0600;16,1065;
200308;0700;15,8083;
200308;0800;18,15;
200308;0900;22,1167;
200308;1000;23,5167;
200308;1100;26,0333;
200308;1200;28,8;
200308;1300;29,2667;
200308;1400;30;
200308;1500;31,0167;
200308;1600;31,5667;
200308;1700;31,3083;
200308;1800;29,7689;
200308;1900;27,7268;
200308;2000;25,5515;
200308;2100;23,9344;
200308;2200;22,434;
200308;2300;21,0254;
200309;0000;20,0583;
200309;0100;19,3833;
200309;0200;18,525;
200309;0300;17,725;
200309;0400;16,975;
200309;0500;17,1471;
200309;0600;16,4051;
200309;0700;16,3214;
200309;0800;19,5333;
200309;0900;23,5917;
200309;1000;25,975;
200309;1100;27,8333;
200309;1200;29,4;
200309;1300;30,5583;
200309;1400;31,175;
200309;1500;32,0667;
200309;1600;32,8333;
200309;1700;32,7417;
200309;1800;31,5167;
200309;1900;29,4583;
200309;2000;26,5917;
200309;2100;24,9167;
200309;2200;23,6917;
200309;2300;22,1333;
200310;0000;20,4167;
200310;0100;19,7333;
200310;0200;18,4667;
200310;0300;17,55;
200310;0400;16,9;
200310;0500;16,2123;
200310;0600;15,6518;
200310;0700;15,6;
200310;0800;17,5;
200310;0900;21,125;
200310;1000;23,825;
200310;1100;26,4083;
200310;1200;28,2583;
200310;1300;29,7;
200310;1400;30,375;
200310;1500;31,225;
200310;1600;31,4167;
200310;1700;30,8083;
200310;1800;29,4833;
200310;1900;27,4;
200310;2000;25,2417;
200310;2100;23,8667;
200310;2200;22,3083;
200310;2300;21,1;
200311;0000;19,9417;
200311;0100;19,2833;
200311;0200;18,4036;
200311;0300;17,7583;
200311;0400;17,2362;
200311;0500;17,5775;
200311;0600;16,6604;
200311;0700;16,5768;
200311;0800;18,6917;
200311;0900;21,775;
200311;1000;25,125;
200311;1100;28,025;
200311;1200;28,675;
200311;1300;29,675;
200311;1400;30,2083;
200311;1500;31,2583;
200311;1600;31,7333;
200311;1700;30,8083;
200311;1800;29,1333;
200311;1900;26,4583;
200311;2000;24,0333;
200311;2100;22,8417;
200311;2200;21,95;
200311;2300;21,3917;
200312;0000;20,7583;
200312;0100;19,5417;
200312;0200;18,3833;
200312;0300;17,1167;
200312;0400;16,0833;
200312;0500;15,4914;
200312;0600;15,0753;
200312;0700;14,5252;
200312;0800;16,2;
200312;0900;18,825;
200312;1000;20,55;
200312;1100;21,6667;
200312;1200;24,5083;
200312;1300;25,9417;
200312;1400;27,2667;
200312;1500;28,2583;
200312;1600;28,3583;
200312;1700;28,0333;
200312;1800;27,3333;
200312;1900;24,9917;
200312;2000;22,725;
200312;2100;20,9417;
200312;2200;19,8333;
200312;2300;18,875;
200313;0000;17,5917;
200313;0100;17,0833;
200313;0200;16,4417;
200313;0300;15,8835;
200313;0400;15,0917;
200313;0500;14,6534;
200313;0600;14,2283;
200313;0700;13,9198;
200313;0800;15,6446;
200313;0900;17,475;
200313;1000;20,5083;
200313;1100;22,4333;
200313;1200;23,975;
200313;1300;25,2917;
200313;1400;26,4833;
200313;1500;27,2667;
200313;1600;27,725;
200313;1700;28,0167;
200313;1800;27,6083;
200313;1900;25,7851;
200313;2000;23,8167;
200313;2100;22,0667;
200313;2200;20,9;
200313;2300;19,7667;
